X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.109560E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109560E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109687E+02   0.500000E+01   0.210910E+01   0.343615E+02   0.180000E+02  -0.127770E-01  -0.999900E+04  -0.999900E+04  -0.361500E+00  -0.999900E+04  -0.214687E+01  -0.999900E+04  -0.999900E+04  -0.903414E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.109506E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109506E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109617E+02   0.500000E+01   0.209989E+01   0.343615E+02   0.180000E+02  -0.111225E-01  -0.999900E+04  -0.999900E+04  -0.361500E+00  -0.999900E+04  -0.186887E+01  -0.999900E+04  -0.999900E+04  -0.451833E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.109455E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109455E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109549E+02   0.500000E+01   0.209023E+01   0.343615E+02   0.180000E+02  -0.936549E-02  -0.999900E+04  -0.999900E+04  -0.361500E+00  -0.999900E+04  -0.157365E+01  -0.999900E+04  -0.999900E+04  -0.451833E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.109398E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109398E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109482E+02   0.500000E+01   0.208013E+01   0.343615E+02   0.180000E+02  -0.844902E-02  -0.999900E+04  -0.999900E+04  -0.361500E+00  -0.999900E+04  -0.141966E+01  -0.999900E+04  -0.999900E+04  -0.451833E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.109362E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109362E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109418E+02   0.500000E+01   0.206960E+01   0.343615E+02   0.180000E+02  -0.556474E-02  -0.999900E+04  -0.999900E+04  -0.361500E+00  -0.999900E+04  -0.935023E+00  -0.999900E+04  -0.999900E+04  -0.451833E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.109312E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109312E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109356E+02   0.500000E+01   0.205867E+01   0.343615E+02   0.180000E+02  -0.433745E-02  -0.999900E+04  -0.999900E+04  -0.361500E+00  -0.999900E+04  -0.728804E+00  -0.999900E+04  -0.999900E+04  -0.451833E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.109266E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109266E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109296E+02   0.500000E+01   0.204734E+01   0.343615E+02   0.180000E+02  -0.293231E-02  -0.999900E+04  -0.999900E+04  -0.361500E+00  -0.999900E+04  -0.492705E+00  -0.999900E+04  -0.999900E+04  -0.451833E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.109207E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109207E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109237E+02   0.500000E+01   0.203566E+01   0.343615E+02   0.180000E+02  -0.306192E-02  -0.999900E+04  -0.999900E+04  -0.361500E+00  -0.999900E+04  -0.514483E+00  -0.999900E+04  -0.999900E+04  -0.451833E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.109163E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109163E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109181E+02   0.500000E+01   0.202362E+01   0.343615E+02   0.180000E+02  -0.179410E-02  -0.999900E+04  -0.999900E+04  -0.361500E+00  -0.999900E+04  -0.301456E+00  -0.999900E+04  -0.999900E+04  -0.451833E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.109129E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109129E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109127E+02   0.500000E+01   0.201128E+01   0.343615E+02   0.180000E+02   0.255128E-03  -0.999900E+04  -0.999900E+04  -0.361500E+00  -0.999900E+04   0.428682E-01  -0.999900E+04  -0.999900E+04  -0.451833E-01  -0.999900E+04
