Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_MC_Up_a2 Kmin_MC_Up_a3 Kmin_MC_Up_a4 Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Kmin_TR_a3    Kmin_TR_a4    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02 -0.513198E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00 -0.452476E-02  0.000000E+00  0.500000E-03  0.953248E+01  0.902521E+01  0.137285E+02  0.150000E+02 -0.513217E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00 -0.452476E-02  0.000000E+00  0.500000E-03  0.900188E+01  0.104591E+02  0.147642E+02  0.158866E+02 -0.513387E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00 -0.456530E+01 -0.452476E-02  0.000000E+00  0.500000E-03  0.864907E+01  0.105076E+02  0.147642E+02  0.140641E+02 -0.464834E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00 -0.170666E+00  0.280000E+02 -0.127776E+01 -0.456530E+01  0.562085E+01  0.000000E+00  0.101018E-02  0.968545E+01  0.105076E+02  0.147642E+02  0.146183E+02 -0.190009E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00 -0.170666E+00  0.280000E+02 -0.127776E+01 -0.823491E+01  0.562085E+01  0.000000E+00  0.101018E-02  0.856232E+01  0.100174E+02  0.176505E+02  0.155199E+02 -0.187345E+03
  0.345753E+02  0.000000E+00  0.000000E+00  0.000000E+00 -0.170666E+00  0.280000E+02 -0.591278E+01 -0.823491E+01  0.562085E+01  0.000000E+00  0.328641E-02  0.857810E+01  0.105989E+02  0.158576E+02  0.149057E+02  0.129074E+03
  0.345753E+02  0.000000E+00  0.000000E+00  0.000000E+00 -0.170666E+00  0.280000E+02 -0.591278E+01 -0.823491E+01  0.562085E+01  0.000000E+00  0.450678E-02  0.832681E+01  0.100663E+02  0.171900E+02  0.152864E+02  0.137799E+03
  0.345753E+02  0.000000E+00 -0.661920E+00  0.000000E+00 -0.287375E+01  0.280000E+02 -0.591278E+01 -0.823491E+01  0.804167E+01 -0.573634E+01  0.450678E-02  0.880557E+01  0.108627E+02  0.166683E+02  0.152864E+02  0.143269E+03
  0.345753E+02  0.000000E+00 -0.661920E+00  0.000000E+00 -0.287375E+01  0.281388E+02 -0.591278E+01 -0.823491E+01  0.750891E+01 -0.484322E+01  0.450678E-02  0.956813E+01  0.116725E+02  0.162272E+02  0.145044E+02  0.144410E+03
  0.345753E+02  0.000000E+00 -0.661920E+00  0.000000E+00 -0.447913E+01  0.281388E+02 -0.591278E+01 -0.823491E+01  0.750891E+01 -0.484322E+01  0.450678E-02  0.923699E+01  0.103626E+02  0.166181E+02  0.132442E+02  0.144385E+03
  0.345753E+02  0.000000E+00 -0.661920E+00  0.478662E+00 -0.447913E+01  0.286262E+02 -0.591278E+01 -0.823491E+01  0.750891E+01 -0.629352E+01  0.450678E-02  0.764898E+01  0.108787E+02  0.143284E+02  0.133609E+02  0.145479E+03
  0.345753E+02  0.000000E+00 -0.864394E+00  0.478662E+00 -0.447913E+01  0.286262E+02 -0.591278E+01 -0.823491E+01  0.750891E+01 -0.356216E+01  0.450678E-02  0.787897E+01  0.108787E+02  0.123390E+02  0.164412E+02  0.145951E+03
  0.345753E+02 -0.506465E+00 -0.864394E+00  0.165106E+01 -0.447913E+01  0.286262E+02 -0.591278E+01 -0.823491E+01  0.750891E+01  0.483781E+00  0.489722E-02  0.921391E+01  0.911664E+01  0.124718E+02  0.160987E+02  0.150896E+03
  0.345753E+02 -0.506465E+00 -0.864394E+00  0.165106E+01 -0.447913E+01  0.286262E+02 -0.591278E+01 -0.823491E+01  0.816725E+01  0.483781E+00  0.489722E-02  0.853760E+01  0.785093E+01  0.120965E+02  0.164665E+02  0.149866E+03
  0.345753E+02 -0.506465E+00 -0.864394E+00  0.165106E+01 -0.447913E+01  0.286262E+02 -0.365322E+01 -0.147583E+01  0.816725E+01 -0.238317E+00  0.502125E-02  0.876039E+01  0.797792E+01  0.140473E+02  0.163980E+02  0.148225E+03
  0.345753E+02 -0.506465E+00 -0.932879E+00  0.165106E+01 -0.436268E+01  0.286262E+02 -0.365322E+01 -0.215089E+01  0.816725E+01 -0.111768E+02  0.502125E-02  0.807624E+01  0.828060E+01  0.128619E+02  0.163980E+02  0.148592E+03
