"Date","t_minutes","Q","id_WSE_number_case","id_WSE_name_case","id_sta"
2008-10-03 14:23:00,23,107.65,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 15:08:00,68,103.617,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 15:36:00,96,91.517,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 16:12:00,132,83.45,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 16:24:00,144,74.3,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 16:50:00,170,69.65,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 17:11:00,191,58.8,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 17:36:00,216,56.323,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 18:20:00,260,56.695,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 20:48:00,408,53.846,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 21:36:00,456,46.415,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 22:34:00,514,43.938,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-03 23:14:00,554,44.31,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 01:53:00,713,42.081,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 04:00:00,840,42.7,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 04:12:00,852,39.604,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 04:47:00,887,40.966,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 05:23:00,923,44.558,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 07:53:00,1073,40.223,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 08:50:00,1130,42.576,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 09:57:00,1197,41.09,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 10:42:00,1242,42.081,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 11:02:00,1262,46.415,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 12:12:00,1332,40.223,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 12:24:00,1344,35.269,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 12:36:00,1356,34.031,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 12:48:00,1368,30.315,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 13:18:00,1398,27.838,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 13:29:00,1409,25.586,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 13:47:00,1427,26.6,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 14:07:00,1447,25.079,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 14:26:00,1466,22.543,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 14:51:00,1491,24.571,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 15:15:00,1515,23.557,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 15:45:00,1545,25.079,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 17:11:00,1631,23.253,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 18:00:00,1680,23.557,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-04 18:41:00,1721,22.036,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 03:00:00,2220,22.543,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 03:12:00,2232,27.219,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 03:27:00,2247,31.554,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 03:48:00,2268,35.269,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 04:12:00,2292,42.7,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 04:41:00,2321,43.938,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 07:55:00,2515,40.842,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 10:59:00,2699,40.223,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 11:07:00,2707,41.214,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 13:53:00,2873,40.223,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 14:40:00,2920,41.462,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 16:29:00,3029,41.462,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 17:11:00,3071,45.177,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 17:23:00,3083,47.654,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 18:36:00,3156,55.085,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 18:48:00,3168,57.562,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 19:12:00,3192,66.55,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 19:47:00,3227,83.45,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 19:59:00,3239,87.483,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 20:23:00,3263,91.517,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 21:00:00,3300,103.617,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-05 22:47:00,3407,107.65,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 00:21:00,3501,105.633,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 02:05:00,3605,107.65,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 02:23:00,3623,109.667,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 02:48:00,3648,115.717,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 03:24:00,3684,127.817,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 03:48:00,3708,131.85,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 04:10:00,3730,131.85,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 04:53:00,3773,136.488,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 05:56:00,3836,138.303,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 06:57:00,3897,132.858,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 10:02:00,4082,133.867,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 11:11:00,4151,127.817,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 11:23:00,4163,109.667,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 11:36:00,4176,129.833,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 11:48:00,4188,139.917,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 12:00:00,4200,133.867,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 12:36:00,4236,121.767,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 13:24:00,4284,113.7,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 13:38:00,4298,114.708,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 14:17:00,4337,112.692,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 15:21:00,4401,112.49,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 17:27:00,4527,115.313,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 19:34:00,4654,122.775,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 20:35:00,4715,124.388,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 21:24:00,4764,122.775,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-06 23:40:00,4900,124.792,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 01:22:00,5002,121.565,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 03:04:00,5104,112.288,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 03:56:00,5156,110.272,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 04:53:00,5213,111.683,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 06:48:00,5328,119.75,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 07:53:00,5393,120.758,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 09:57:00,5517,111.28,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 12:24:00,5664,105.633,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 13:10:00,5710,109.263,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 14:17:00,5777,110.675,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 17:23:00,5963,110.675,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 20:17:00,6137,115.717,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 22:53:00,6293,127.817,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-07 23:23:00,6323,139.917,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 00:12:00,6372,145.967,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 01:41:00,6461,146.975,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 02:02:00,6482,144.555,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 02:51:00,6531,147.58,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 04:00:00,6600,141.933,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 04:12:00,6612,135.883,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 04:47:00,6647,131.85,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 05:11:00,6671,119.75,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 05:19:00,6679,123.38,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 07:06:00,6786,120.758,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 07:47:00,6827,109.667,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 07:59:00,6839,99.583,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 08:36:00,6876,87.483,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 09:53:00,6953,75.85,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 10:47:00,7007,81.433,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 10:59:00,7019,87.483,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 12:04:00,7084,93.533,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 12:24:00,7104,92.122,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 14:23:00,7223,92.525,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 15:24:00,7284,94.542,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 16:20:00,7340,93.13,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 17:44:00,7424,95.752,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 19:05:00,7505,100.592,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 20:54:00,7614,93.533,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 21:12:00,7632,89.5,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 21:24:00,7644,83.45,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 21:48:00,7668,79.417,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-08 22:29:00,7709,76.315,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 01:41:00,7901,73.525,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 02:48:00,7968,87.483,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 03:12:00,7992,101.6,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 03:24:00,8004,105.633,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 03:48:00,8028,121.767,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 04:00:00,8040,125.8,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 04:50:00,8090,130.438,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 06:57:00,8217,134.472,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 10:05:00,8405,135.883,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 12:12:00,8532,134.875,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 14:48:00,8688,137.9,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 16:53:00,8813,133.867,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 17:36:00,8856,123.783,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 18:00:00,8880,109.667,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 18:12:00,8892,107.65,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 18:24:00,8904,99.583,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 18:36:00,8916,97.567,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 19:20:00,8960,97.567,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-09 22:41:00,9161,89.5,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 02:38:00,9398,89.5,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 04:47:00,9527,92.525,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 04:59:00,9539,91.113,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 05:35:00,9575,98.978,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 06:24:00,9624,101.6,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 06:48:00,9648,95.55,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 07:00:00,9660,87.483,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 07:50:00,9710,72.75,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 08:36:00,9756,53.846,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 09:00:00,9780,47.654,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 09:53:00,9833,45.177,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 10:22:00,9862,45.548,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 12:24:00,9984,40.223,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 12:48:00,10008,30.315,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 13:24:00,10044,27.838,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 13:34:00,10054,23.557,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 13:37:00,10057,23.557,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 13:50:00,10070,26.6,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 14:39:00,10119,23.05,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 14:48:00,10128,23.557,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 15:03:00,10143,26.093,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-10 16:38:00,10238,22.543,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 01:38:00,10778,22.543,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 02:27:00,10827,25.079,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 03:48:00,10908,22.036,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 04:41:00,10961,23.354,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 05:17:00,10997,21.529,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 05:48:00,11028,24.876,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 06:12:00,11052,23.05,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 06:49:00,11089,21.731,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 07:26:00,11126,23.557,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 08:17:00,11177,21.021,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 08:36:00,11196,27.838,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 09:00:00,11220,32.792,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 09:12:00,11232,36.508,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 09:24:00,11244,37.746,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 09:36:00,11256,41.462,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 10:00:00,11280,45.177,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 12:04:00,11404,40.842,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 12:36:00,11436,41.833,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 13:47:00,11507,41.462,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 13:59:00,11519,40.223,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 14:23:00,11543,27.838,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 14:36:00,11556,23.557,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 14:42:00,11562,26.6,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 15:00:00,11580,26.093,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 15:17:00,11597,22.543,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 15:33:00,11613,23.557,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 16:22:00,11662,22.543,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 16:59:00,11699,23.05,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 17:35:00,11735,25.079,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 18:00:00,11760,23.354,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 18:15:00,11775,20.514,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 18:27:00,11787,23.05,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 18:57:00,11817,23.557,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 21:12:00,11952,22.543,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 21:39:00,11979,23.456,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-11 22:29:00,12029,22.239,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-12 01:17:00,12197,23.253,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-12 02:17:00,12257,22.543,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-12 03:12:00,12312,23.354,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-12 03:27:00,12327,20.514,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-12 03:39:00,12339,23.05,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-12 04:02:00,12362,23.557,5,"RHONE_300","Ain_Pont_d_Ain"
2008-10-12 05:11:00,12431,22.036,5,"RHONE_300","Ain_Pont_d_Ain"
