Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_MC_Up_a2 Kmin_MC_Up_a3 Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Kmin_TR_a3    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02 -0.513198E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.281760E+02 -0.480138E+01  0.000000E+00  0.439698E+00  0.499434E-03  0.106566E+02  0.929137E+01  0.170158E+02  0.139671E+02 -0.494909E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.000000E+00  0.281760E+02 -0.480138E+01  0.000000E+00  0.539492E+00  0.499434E-03  0.119798E+02  0.929137E+01  0.174756E+02  0.134347E+02 -0.486802E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.000000E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.539492E+00  0.499434E-03  0.112259E+02  0.115268E+02  0.190511E+02  0.149041E+02 -0.421947E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.558574E+01  0.570813E-03  0.112259E+02  0.115055E+02  0.208813E+02  0.146646E+02 -0.344608E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.558574E+01  0.192832E-02  0.981503E+01  0.124492E+02  0.208813E+02  0.130349E+02  0.339054E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.558574E+01  0.192832E-02  0.102724E+02  0.130272E+02  0.208813E+02  0.149087E+02  0.336472E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.558574E+01  0.274656E-02  0.100247E+02  0.139869E+02  0.222088E+02  0.171700E+02  0.909311E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.558574E+01  0.274656E-02  0.108872E+02  0.140555E+02  0.222088E+02  0.172371E+02  0.906948E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00 -0.789763E+01  0.959071E+01  0.497695E-02  0.105584E+02  0.130567E+02  0.202817E+02  0.172371E+02  0.129609E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.145041E+01  0.298823E+02 -0.206377E+01 -0.789763E+01  0.903259E+01  0.497695E-02  0.927081E+01  0.132686E+02  0.208573E+02  0.165190E+02  0.132795E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.145041E+01  0.298823E+02 -0.206377E+01 -0.789763E+01  0.152854E+02  0.565740E-02  0.907014E+01  0.132686E+02  0.192456E+02  0.175240E+02  0.133253E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.145041E+01  0.298823E+02 -0.206377E+01 -0.789763E+01  0.253948E+01  0.533222E-02  0.925626E+01  0.133285E+02  0.183597E+02  0.177851E+02  0.133958E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.145041E+01  0.298823E+02 -0.206377E+01 -0.376932E+01  0.253948E+01  0.541003E-02  0.960610E+01  0.133981E+02  0.183218E+02  0.164591E+02  0.134027E+03
