Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_TR_a0    Kmin_TR_a1    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.280000E+02  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.100000E+01  0.150000E+02 -0.625042E+03
  0.340000E+02  0.000000E+00  0.280000E+02  0.000000E+00  0.551768E-03  0.939983E+01  0.891986E+01  0.100550E+01  0.149992E+02 -0.594978E+03
  0.340000E+02  0.000000E+00  0.280000E+02  0.000000E+00  0.112245E-02  0.101368E+02  0.881923E+01  0.108172E+01  0.174708E+02 -0.306204E+03
  0.340000E+02  0.000000E+00  0.280424E+02  0.000000E+00  0.112245E-02  0.910907E+01  0.912580E+01  0.104623E+01  0.166749E+02 -0.305171E+03
  0.340000E+02  0.000000E+00  0.280424E+02 -0.264056E+00  0.182754E-02  0.935461E+01  0.852192E+01  0.969729E+00  0.164261E+02 -0.120338E+03
  0.340000E+02  0.000000E+00  0.280424E+02 -0.264056E+00  0.182754E-02  0.900180E+01  0.857049E+01  0.780209E+00  0.146036E+02 -0.120024E+03
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.182754E-02  0.102220E+02  0.841077E+01  0.662173E+00  0.156584E+02 -0.118539E+03
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.418763E-02  0.105914E+02  0.976827E+01  0.521086E+00  0.170740E+02  0.116746E+02
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.418763E-02  0.100102E+02  0.841206E+01  0.393310E+00  0.175634E+02  0.114715E+02
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.485137E-02  0.112594E+02  0.880892E+01  0.336726E+00  0.170485E+02  0.175859E+02
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.663490E-02  0.112594E+02  0.856123E+01  0.432690E+00  0.183760E+02  0.212465E+02
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.663490E-02  0.107267E+02  0.916187E+01  0.561910E+00  0.166779E+02  0.219679E+02
  0.340000E+02  0.000000E+00  0.285185E+02 -0.264056E+00  0.667961E-02  0.116961E+02  0.871965E+01  0.655813E+00  0.157431E+02  0.216153E+02
  0.340000E+02  0.000000E+00  0.285185E+02 -0.264056E+00  0.667961E-02  0.113673E+02  0.772082E+01  0.527338E+00  0.157431E+02  0.213252E+02
  0.340000E+02  0.000000E+00  0.285185E+02 -0.264056E+00  0.718146E-02  0.110044E+02  0.772082E+01  0.520362E+00  0.142017E+02  0.212096E+02
  0.340000E+02  0.000000E+00  0.285185E+02 -0.409401E+01  0.718146E-02  0.102496E+02  0.772082E+01  0.564331E+00  0.135065E+02  0.216190E+02
  0.340000E+02  0.000000E+00  0.285185E+02 -0.409401E+01  0.636004E-02  0.110094E+02  0.772082E+01  0.638716E+00  0.137317E+02  0.221474E+02
  0.340000E+02  0.000000E+00  0.285185E+02 -0.409401E+01  0.725900E-02  0.119726E+02  0.772082E+01  0.814592E+00  0.140760E+02  0.208760E+02
  0.340000E+02  0.000000E+00  0.285185E+02 -0.178486E+01  0.692014E-02  0.119967E+02  0.847754E+01  0.820098E+00  0.140760E+02  0.221111E+02
  0.340000E+02  0.000000E+00  0.285185E+02 -0.178486E+01  0.619575E-02  0.122009E+02  0.799326E+01  0.793558E+00  0.143768E+02  0.220999E+02
  0.340000E+02  0.000000E+00  0.285185E+02 -0.178486E+01  0.619575E-02  0.122009E+02  0.916843E+01  0.692761E+00  0.126736E+02  0.223472E+02
  0.340000E+02  0.000000E+00  0.287037E+02 -0.178486E+01  0.636774E-02  0.125991E+02  0.985652E+01  0.692761E+00  0.138300E+02  0.223342E+02
  0.340000E+02  0.000000E+00  0.292086E+02 -0.488512E+01  0.636774E-02  0.125991E+02  0.108562E+02  0.758970E+00  0.128415E+02  0.218738E+02
  0.340000E+02  0.000000E+00  0.292086E+02 -0.268632E+01  0.636774E-02  0.125668E+02  0.111013E+02  0.779522E+00  0.107152E+02  0.208818E+02
  0.340000E+02  0.000000E+00  0.292086E+02 -0.413355E+01  0.583579E-02  0.122996E+02  0.115835E+02  0.791574E+00  0.105765E+02  0.209407E+02
  0.340000E+02  0.000000E+00  0.292086E+02 -0.413355E+01  0.584564E-02  0.122996E+02  0.117612E+02  0.629340E+00  0.121433E+02  0.217859E+02
  0.340000E+02  0.000000E+00  0.292086E+02 -0.413355E+01  0.584564E-02  0.123103E+02  0.109963E+02  0.569924E+00  0.142964E+02  0.224555E+02
  0.340000E+02  0.000000E+00  0.288434E+02 -0.413355E+01  0.584564E-02  0.123103E+02  0.104858E+02  0.494076E+00  0.122998E+02  0.222399E+02
  0.340000E+02  0.000000E+00  0.288434E+02 -0.413355E+01  0.662095E-02  0.102997E+02  0.104859E+02  0.535945E+00  0.122998E+02  0.228353E+02
  0.340000E+02  0.000000E+00  0.288434E+02 -0.413355E+01  0.627784E-02  0.999559E+01  0.972947E+01  0.532555E+00  0.122998E+02  0.231600E+02
  0.340000E+02  0.000000E+00  0.288434E+02 -0.413355E+01  0.626968E-02  0.915482E+01  0.100298E+02  0.400946E+00  0.130398E+02  0.233646E+02
  0.340000E+02  0.000000E+00  0.288434E+02 -0.413355E+01  0.626968E-02  0.947351E+01  0.100298E+02  0.223793E+00  0.145111E+02  0.235561E+02
  0.340000E+02  0.000000E+00  0.288434E+02 -0.413355E+01  0.715784E-02  0.943604E+01  0.895798E+01  0.137943E+00  0.141260E+02  0.227034E+02
  0.340000E+02  0.000000E+00  0.288434E+02 -0.297739E+01  0.715784E-02  0.963559E+01  0.895798E+01  0.233649E+00  0.152696E+02  0.229319E+02
  0.340000E+02  0.000000E+00  0.288434E+02 -0.297739E+01  0.586893E-02  0.963559E+01  0.864099E+01  0.327283E+00  0.137068E+02  0.234544E+02
  0.339868E+02  0.000000E+00  0.288434E+02 -0.297739E+01  0.586893E-02  0.106245E+02  0.864099E+01  0.370831E+00  0.137068E+02  0.229780E+02
  0.339868E+02  0.000000E+00  0.288434E+02 -0.297739E+01  0.585780E-02  0.104383E+02  0.923996E+01  0.366333E+00  0.129030E+02  0.230096E+02
  0.339868E+02  0.000000E+00  0.288434E+02 -0.297739E+01  0.662391E-02  0.996288E+01  0.101671E+02  0.436086E+00  0.126941E+02  0.230400E+02
  0.339868E+02  0.000000E+00  0.288434E+02 -0.297739E+01  0.662391E-02  0.949442E+01  0.106238E+02  0.526996E+00  0.126941E+02  0.229353E+02
  0.339868E+02  0.000000E+00  0.288434E+02 -0.297739E+01  0.662391E-02  0.105596E+02  0.109038E+02  0.490937E+00  0.116410E+02  0.223971E+02
  0.339868E+02  0.000000E+00  0.288434E+02 -0.297739E+01  0.662391E-02  0.954196E+01  0.993566E+01  0.432200E+00  0.125709E+02  0.230509E+02
  0.339868E+02  0.000000E+00  0.302807E+02 -0.297739E+01  0.868729E-02  0.854845E+01  0.993566E+01  0.568725E+00  0.135086E+02  0.174208E+02
  0.339868E+02  0.000000E+00  0.302807E+02 -0.297739E+01  0.868729E-02  0.834988E+01  0.101535E+02  0.552684E+00  0.135086E+02  0.173276E+02
  0.339868E+02  0.000000E+00  0.302807E+02 -0.297739E+01  0.868729E-02  0.768407E+01  0.101535E+02  0.555310E+00  0.114498E+02  0.163394E+02
  0.339868E+02  0.000000E+00  0.302807E+02 -0.297739E+01  0.885436E-02  0.880937E+01  0.113988E+02  0.711206E+00  0.132300E+02  0.167092E+02
  0.339868E+02  0.000000E+00  0.273588E+02  0.719082E+00  0.892955E-02  0.869019E+01  0.113988E+02  0.641506E+00  0.132300E+02  0.170663E+02
  0.339868E+02  0.000000E+00  0.272250E+02  0.719082E+00  0.802593E-02  0.984054E+01  0.100534E+02  0.700142E+00  0.142810E+02  0.187289E+02
  0.339868E+02  0.000000E+00  0.272250E+02  0.719082E+00  0.836282E-02  0.103958E+02  0.113190E+02  0.703669E+00  0.146243E+02  0.178769E+02
  0.339868E+02  0.000000E+00  0.267750E+02  0.719082E+00  0.761528E-02  0.103958E+02  0.113190E+02  0.801653E+00  0.150617E+02  0.171279E+02
  0.339868E+02  0.000000E+00  0.265025E+02  0.719082E+00  0.761528E-02  0.905568E+01  0.112010E+02  0.688306E+00  0.142588E+02  0.160084E+02
  0.339868E+02  0.000000E+00  0.265025E+02  0.719082E+00  0.706927E-02  0.978814E+01  0.122561E+02  0.689490E+00  0.138038E+02  0.154750E+02
  0.339868E+02  0.000000E+00  0.265025E+02  0.719082E+00  0.706927E-02  0.112615E+02  0.128875E+02  0.607167E+00  0.136578E+02  0.148552E+02
  0.339868E+02  0.000000E+00  0.265025E+02  0.719082E+00  0.718386E-02  0.112615E+02  0.117404E+02  0.537010E+00  0.130410E+02  0.154354E+02
  0.339868E+02  0.000000E+00  0.275909E+02  0.719082E+00  0.684245E-02  0.112615E+02  0.124033E+02  0.350643E+00  0.137368E+02  0.194965E+02
  0.339868E+02  0.000000E+00  0.275909E+02 -0.246532E+01  0.684245E-02  0.112615E+02  0.112869E+02  0.862676E-01  0.141478E+02  0.204856E+02
  0.339868E+02  0.000000E+00  0.295020E+02 -0.460143E+01  0.684245E-02  0.107953E+02  0.111819E+02  0.966138E-01  0.145712E+02  0.221658E+02
  0.339868E+02  0.000000E+00  0.295020E+02 -0.460143E+01  0.684245E-02  0.806114E+01  0.101907E+02  0.966138E-01  0.145712E+02  0.221947E+02
  0.339868E+02  0.000000E+00  0.295020E+02 -0.460143E+01  0.684245E-02  0.806114E+01  0.900817E+01  0.983719E-01  0.143194E+02  0.221870E+02
  0.339868E+02  0.000000E+00  0.295020E+02 -0.460143E+01  0.684245E-02  0.720204E+01  0.922850E+01  0.398858E-01  0.128081E+02  0.213948E+02
  0.339868E+02  0.000000E+00  0.295020E+02 -0.260002E+01  0.613581E-02  0.720204E+01  0.915358E+01  0.656969E-01  0.132085E+02  0.212680E+02
  0.339868E+02  0.000000E+00  0.286913E+02 -0.260002E+01  0.613581E-02  0.720204E+01  0.856027E+01  0.656969E-01  0.159917E+02  0.220849E+02
  0.339868E+02  0.000000E+00  0.286913E+02 -0.260002E+01  0.613581E-02  0.791047E+01  0.856027E+01  0.816734E-01  0.166143E+02  0.225324E+02
  0.345773E+02  0.000000E+00  0.286913E+02 -0.260002E+01  0.613581E-02  0.791047E+01  0.875825E+01  0.816734E-01  0.131825E+02  0.250205E+02
  0.345773E+02  0.000000E+00  0.286913E+02 -0.430509E+01  0.613581E-02  0.794780E+01  0.899695E+01  0.135405E+00  0.132614E+02  0.275195E+02
  0.345773E+02  0.000000E+00  0.286913E+02 -0.867618E+01  0.505782E-02  0.813628E+01  0.107074E+02  0.303884E-01  0.157963E+02  0.269870E+02
  0.345773E+02  0.000000E+00  0.286913E+02 -0.509724E+01  0.529743E-02  0.830273E+01  0.989033E+01  0.174238E-01  0.170232E+02  0.291492E+02
  0.345773E+02  0.000000E+00  0.278224E+02 -0.509724E+01  0.529743E-02  0.830273E+01  0.835521E+01  0.125816E+00  0.170232E+02  0.293247E+02
  0.345773E+02  0.000000E+00  0.278224E+02 -0.509724E+01  0.529743E-02  0.830273E+01  0.784241E+01  0.104179E+00  0.150571E+02  0.293777E+02
  0.345773E+02  0.000000E+00  0.278224E+02 -0.509724E+01  0.509101E-02  0.834636E+01  0.864337E+01  0.172920E+00  0.148292E+02  0.297973E+02
  0.345773E+02  0.000000E+00  0.278224E+02 -0.509724E+01  0.579500E-02  0.834636E+01  0.106606E+02  0.176510E+00  0.148292E+02  0.293204E+02
  0.345773E+02  0.000000E+00  0.278224E+02 -0.509724E+01  0.579500E-02  0.748898E+01  0.103914E+02  0.298396E+00  0.126446E+02  0.286265E+02
  0.345773E+02  0.000000E+00  0.278224E+02 -0.456694E+01  0.579500E-02  0.772362E+01  0.105106E+02  0.192448E+00  0.129557E+02  0.289672E+02
  0.345773E+02  0.000000E+00  0.278224E+02 -0.456694E+01  0.579500E-02  0.899301E+01  0.981667E+01  0.911122E-01  0.125377E+02  0.295128E+02
  0.345773E+02  0.000000E+00  0.278224E+02 -0.456694E+01  0.639256E-02  0.922152E+01  0.110310E+02  0.116141E+00  0.130588E+02  0.283834E+02
  0.345773E+02  0.000000E+00  0.278224E+02 -0.456694E+01  0.641895E-02  0.936897E+01  0.112204E+02  0.647178E-01  0.140257E+02  0.283935E+02
  0.344823E+02  0.000000E+00  0.278224E+02 -0.456694E+01  0.635790E-02  0.100025E+02  0.101888E+02  0.512338E-01  0.137876E+02  0.293042E+02
  0.344823E+02  0.000000E+00  0.279942E+02 -0.456694E+01  0.615985E-02  0.113056E+02  0.101888E+02  0.512338E-01  0.151805E+02  0.296540E+02
  0.344823E+02  0.000000E+00  0.279942E+02 -0.456694E+01  0.458611E-02  0.116933E+02  0.864181E+01  0.818793E-01  0.129983E+02  0.302691E+02
