Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_MC_Up_a2 Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02 -0.503059E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00 -0.480138E+01  0.500000E-03  0.101102E+02  0.110673E+02  0.146947E+02  0.139843E+02 -0.449539E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00 -0.480138E+01  0.711836E-03  0.995436E+01  0.111486E+02  0.121601E+02  0.147548E+02 -0.336448E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00 -0.480138E+01  0.140225E-02  0.105454E+02  0.111156E+02  0.132178E+02  0.151231E+02 -0.692848E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.280000E+02  0.000000E+00 -0.480138E+01  0.248214E-02  0.853282E+01  0.117480E+02  0.129263E+02  0.171272E+02  0.994624E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.280000E+02  0.000000E+00 -0.480138E+01  0.248214E-02  0.813101E+01  0.118692E+02  0.101563E+02  0.174567E+02  0.977676E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.280000E+02  0.000000E+00 -0.546392E+01  0.378878E-02  0.813101E+01  0.123060E+02  0.108259E+02  0.174567E+02  0.136546E+03
  0.340000E+02  0.000000E+00 -0.132674E+01  0.280000E+02  0.000000E+00 -0.546392E+01  0.571298E-02  0.873213E+01  0.124752E+02  0.108259E+02  0.174567E+02  0.146232E+03
  0.340000E+02  0.000000E+00 -0.132674E+01  0.280000E+02  0.000000E+00 -0.546392E+01  0.653720E-02  0.873213E+01  0.124910E+02  0.116981E+02  0.156639E+02  0.146605E+03
  0.340000E+02  0.000000E+00 -0.132674E+01  0.298867E+02  0.000000E+00  0.259971E+01  0.564666E-02  0.831609E+01  0.124910E+02  0.127917E+02  0.147866E+02  0.147973E+03
  0.340000E+02  0.000000E+00 -0.132674E+01  0.298867E+02  0.000000E+00  0.215683E+01  0.587999E-02  0.823335E+01  0.133597E+02  0.122849E+02  0.130539E+02  0.147240E+03
  0.340000E+02  0.000000E+00 -0.132674E+01  0.298867E+02  0.000000E+00  0.215683E+01  0.667641E-02  0.788559E+01  0.133597E+02  0.110278E+02  0.138292E+02  0.145763E+03
  0.340000E+02  0.000000E+00 -0.132674E+01  0.300255E+02 -0.228810E+01 -0.562676E+01  0.660981E-02  0.799723E+01  0.133597E+02  0.121716E+02  0.150438E+02  0.148034E+03
  0.340000E+02  0.000000E+00 -0.132674E+01  0.300255E+02 -0.228810E+01 -0.183135E+00  0.640914E-02  0.852239E+01  0.122853E+02  0.131766E+02  0.170885E+02  0.148931E+03
  0.340000E+02  0.000000E+00 -0.132674E+01  0.300255E+02 -0.228810E+01 -0.690429E+01  0.481590E-02  0.852239E+01  0.124714E+02  0.132664E+02  0.162027E+02  0.149510E+03
  0.345919E+02  0.000000E+00 -0.132674E+01  0.275368E+02 -0.228810E+01 -0.690429E+01  0.322790E-02  0.903843E+01  0.109449E+02  0.133831E+02  0.167274E+02  0.158835E+03
  0.345919E+02 -0.202474E+00 -0.132674E+01  0.291750E+02 -0.228810E+01 -0.690429E+01  0.322790E-02  0.783231E+01  0.112863E+02  0.133831E+02  0.167274E+02  0.169747E+03
  0.345919E+02 -0.202474E+00 -0.132674E+01  0.291750E+02 -0.279456E+01 -0.690429E+01  0.337445E-02  0.750094E+01  0.118950E+02  0.126444E+02  0.167274E+02  0.170264E+03
  0.345919E+02 -0.202474E+00 -0.132674E+01  0.291750E+02 -0.279456E+01 -0.690429E+01  0.314615E-02  0.748317E+01  0.975818E+01  0.112071E+02  0.167274E+02  0.170277E+03
  0.345919E+02 -0.202474E+00 -0.132674E+01  0.291750E+02 -0.279456E+01 -0.690429E+01  0.314615E-02  0.680686E+01  0.849247E+01  0.112071E+02  0.170951E+02  0.169298E+03
  0.345919E+02 -0.202474E+00 -0.132674E+01  0.291750E+02 -0.279456E+01 -0.690429E+01  0.342859E-02  0.765175E+01  0.801589E+01  0.110717E+02  0.172812E+02  0.169697E+03
  0.345919E+02 -0.202474E+00 -0.132674E+01  0.290472E+02 -0.279456E+01 -0.690429E+01  0.342003E-02  0.878053E+01  0.803044E+01  0.114844E+02  0.175782E+02  0.170649E+03
  0.345919E+02 -0.202474E+00 -0.132674E+01  0.290472E+02 -0.279456E+01 -0.448284E+01  0.262973E-02  0.973954E+01  0.835892E+01  0.119600E+02  0.168695E+02  0.167798E+03
  0.345919E+02 -0.202474E+00 -0.225527E+01  0.290472E+02 -0.279456E+01 -0.448284E+01  0.268179E-02  0.973954E+01  0.724458E+01  0.128109E+02  0.170886E+02  0.175059E+03
  0.345919E+02 -0.202474E+00 -0.206614E+01  0.290472E+02 -0.194228E+01 -0.448284E+01  0.268179E-02  0.963652E+01  0.760523E+01  0.133388E+02  0.208300E+02  0.172975E+03
  0.345919E+02 -0.202474E+00 -0.206614E+01  0.290472E+02 -0.194228E+01 -0.418173E+01  0.276108E-02  0.112498E+02  0.846546E+01  0.127558E+02  0.212783E+02  0.172842E+03
  0.345919E+02 -0.202474E+00 -0.206614E+01  0.290472E+02 -0.344728E+01 -0.418173E+01  0.287376E-02  0.112630E+02  0.771530E+01  0.140060E+02  0.203188E+02  0.173827E+03
  0.345919E+02 -0.202474E+00 -0.206614E+01  0.290472E+02 -0.344728E+01 -0.418173E+01  0.265436E-02  0.998227E+01  0.853320E+01  0.152311E+02  0.203188E+02  0.174247E+03
